ID;Nazwa;Opis;Pozycja;Wyświetlane;Kategoria nadrzędna
101;Air;;1;1;4
102;Alaska;;2;1;4
103;Alpaca;;3;1;4
104;Andes;;4;1;4
105;Baby;;5;1;4
106;Belle;;6;1;4
107;Big;;7;1;4
108;Bomull-Lin;;8;1;4
109;Brushed;;9;1;4
110;Cotton;;10;1;4
111;Daisy;;11;1;4
112;Fabel;;12;1;4
113;Flora;;13;1;4
114;Karisma;;14;1;4
115;Kid-Silk;;15;1;4
116;Lima;;16;1;4
117;Melody;;17;1;4
118;Merino;;18;1;4
119;Muskat;;19;1;4
120;Nepal;;20;1;4
121;Nord;;21;1;4
122;Paris;;22;1;4
123;Polaris;;23;1;4
124;Puna;;24;1;4
125;Safran;;25;1;4
126;Sky;;26;1;4
127;Snow;;27;1;4
128;Soft;;28;1;4
129;Loves;;29;1;4
130;Natura;;30;1;5
131;Baby;;31;1;6
132;Happy;;32;1;6
133;Unicorn;;33;1;6
134;Dolphin;;34;1;7
135;Everyday;;35;1;7
136;Himagurumi;;36;1;7
137;Baby;;37;1;8
138;Merino-Linen;;38;1;8
139;Alabama;;39;1;9
140;Fair;;40;1;9
141;Love;;41;1;9
142;Bella;;42;1;10
143;Luna;;43;1;10
144;Terra;;44;1;10
145;Viva;;45;1;10
