Product ID;Name;Kategoria;Cena netto;Cena brutto;Ilość;Kategoria nadrzędna
1;Włóczka DROPS Air 01 - ecru;101;16.99;20.9;10;564
2;Włóczka DROPS Air mix 02 - pszeniczny;101;16.99;20.9;10;564
3;Włóczka DROPS Air mix 40 - lemoniada;101;16.99;20.9;10;564
4;Włóczka DROPS Air 22 - żółty;101;16.99;20.9;10;564
5;Włóczka DROPS Air mix 13 - pomarańczowy;101;16.99;20.9;10;564
6;Włóczka DROPS Air mix 38 - elektryzujący pomarańcz;101;16.99;20.9;10;564
7;Włóczka DROPS Air 54 - słodka morela;101;16.99;20.9;10;564
8;Włóczka DROPS Air 50 - brzoskwiniowy róż;101;16.99;20.9;10;564
9;Włóczka DROPS Air mix 07 - rubinowy;101;16.99;20.9;10;564
10;Włóczka DROPS Air 35 - glina;101;16.99;20.9;10;564
11;Włóczka DROPS Air 44 - karminowy;101;16.99;20.9;10;564
12;Włóczka DROPS Air mix 39 - magenta;101;16.99;20.9;10;564
13;Włóczka DROPS Air 24 - średni róż;101;16.99;20.9;10;564
14;Włóczka DROPS Air 53 - lody truskawkowe;101;16.99;20.9;10;564
15;Włóczka DROPS Air mix 08 - jasny róż;101;16.99;20.9;10;564
16;Włóczka DROPS Alaska 69 - perłowa biel;102;6.91;8.5;10;564
17;Włóczka DROPS Alaska 02 - ecru;102;6.91;8.5;10;564
18;Włóczka DROPS Alaska 61 - pszeniczny;102;6.91;8.5;10;564
19;Włóczka DROPS Alaska mix 73 - piaskowy;102;6.91;8.5;10;564
20;Włóczka DROPS Alaska 58 - musztarda;102;6.91;8.5;10;564
21;Włóczka DROPS Alaska 10 - czerwony;102;6.91;8.5;10;564
22;Włóczka DROPS Alaska 11 - ciemnoczerwony;102;6.91;8.5;10;564
23;Włóczka DROPS Alaska mix 40 - lawendowy róż;102;6.91;8.5;10;564
24;Włóczka DROPS Alaska mix 62 - mgła;102;6.91;8.5;10;564
25;Włóczka DROPS Alaska mix 63 - perłowy szary;102;6.91;8.5;10;564
26;Włóczka DROPS Alaska 57 - dżins;102;6.91;8.5;10;564
27;Włóczka DROPS Alaska 37 - ciemnoniebieski;102;6.91;8.5;10;564
28;Włóczka DROPS Alaska mix 12 - niebieski morski;102;6.91;8.5;10;564
